transaction_id,date,sku,product_name,quantity,unit_cost,unit_price,payment_method,supplier,category,employee,discount
20241012-0000,2024-10-12 09:50:29,ELX12,Light Bulb 60W,9,80,120,MPESA,SUPP_C,Electrical,Lucy,0
20241012-0001,2024-10-12 13:29:13,PLM001,Plumbing PVC Pipe 1”,1,200,280,BANK_TRANSFER,SUPP_C,Plumbing,John,0
20241012-0002,2024-10-12 08:07:14,PLM001,Plumbing PVC Pipe 1”,7,200,280,BANK_TRANSFER,SUPP_C,Plumbing,John,5
20241012-0003,2024-10-12 12:05:50,ELX12,Light Bulb 60W,3,80,120,MPESA,SUPP_C,Electrical,Lucy,5
20241012-0004,2024-10-12 16:51:09,PAI500,Premium Paint 5L,4,1200,1500,CARD,SUPP_D,Paints,John,0
20241012-0005,2024-10-12 09:41:33,BRU100,Hard Bristle Brush,8,180,250,CARD,SUPP_D,Decor,John,5
20241012-0006,2024-10-12 08:05:11,TIN012,Thin Nails Bundle,10,90,120,CASH,SUPP_B,Fasteners,Mary,10
20241012-0007,2024-10-12 10:25:13,PLM001,Plumbing PVC Pipe 1”,4,200,280,CARD,SUPP_C,Plumbing,Peter,10
20241012-0008,2024-10-12 12:10:52,BRU100,Hard Bristle Brush,10,180,250,CARD,SUPP_D,Decor,Mary,0
20241012-0009,2024-10-12 13:56:52,PLY200,2x1 Timber (2m),8,300,350,CARD,SUPP_A,Timber,John,0
20241012-0010,2024-10-12 16:43:33,TOOL01,Hammer 16oz,5,400,550,MPESA,SUPP_E,Tools,Peter,10
20241012-0011,2024-10-12 12:34:41,CEM001,20kg Cement Bag,-2,450,500,CASH,SUPP_A,Building Materials,Mary,0
20241012-0012,2024-10-12 10:18:33,GLV010,Construction Gloves,8,50,80,CASH,SUPP_B,Safety,John,10
20241012-0013,2024-10-12 10:03:30,TOOL01,Hammer 16oz,7,400,550,CASH,SUPP_E,Tools,Mary,0
20241012-0014,2024-10-12 17:33:35,CEM001,20kg Cement Bag,5,450,500,CASH,SUPP_A,Building Materials,Peter,10
20241012-0015,2024-10-12 11:18:09,PAI500,Premium Paint 5L,3,1200,1500,CASH,SUPP_D,Paints,Lucy,0
20241012-0016,2024-10-12 14:57:08,NLS123,1/2 inch Nail Box,9,120,150,CASH,SUPP_B,Fasteners,Mary,0
20241012-0017,2024-10-12 10:53:32,PLY200,2x1 Timber (2m),10,300,350,BANK_TRANSFER,SUPP_A,Timber,John,10
20241012-0018,2024-10-12 16:00:53,NLS123,1/2 inch Nail Box,5,120,150,BANK_TRANSFER,SUPP_B,Fasteners,Mary,0
20241012-0019,2024-10-12 10:17:34,PLY200,2x1 Timber (2m),8,300,350,MPESA,SUPP_A,Timber,Lucy,0
20241012-0020,2024-10-12 14:59:15,ELX12,Light Bulb 60W,9,80,120,CASH,SUPP_C,Electrical,Mary,5
20241012-0021,2024-10-12 12:45:46,GLV010,Construction Gloves,8,50,80,CASH,SUPP_B,Safety,Peter,10
20241012-0022,2024-10-12 17:22:47,BRU100,Hard Bristle Brush,6,180,250,CASH,SUPP_D,Decor,John,0
20241012-0023,2024-10-12 10:06:16,TOOL01,Hammer 16oz,9,400,550,CARD,SUPP_E,Tools,John,10
20241012-0024,2024-10-12 08:32:19,TIN012,Thin Nails Bundle,7,90,120,BANK_TRANSFER,SUPP_B,Fasteners,Mary,0
20241012-0025,2024-10-12 16:38:50,PAI500,Premium Paint 5L,4,1200,1500,MPESA,SUPP_D,Paints,Mary,0
20241012-0026,2024-10-12 12:30:03,TOOL01,Hammer 16oz,6,400,550,BANK_TRANSFER,SUPP_E,Tools,Mary,5
